start_time,away_team,home_team,away_team_score,home_team_score
2021-01-29 00:30:00+00:00,PORTLAND TRAIL BLAZERS,HOUSTON ROCKETS,101,104
2021-01-29 01:00:00+00:00,LOS ANGELES LAKERS,DETROIT PISTONS,92,107
2021-01-29 01:00:00+00:00,LOS ANGELES CLIPPERS,MIAMI HEAT,109,105
2021-01-29 03:00:00+00:00,GOLDEN STATE WARRIORS,PHOENIX SUNS,93,114
2021-01-30 00:00:00+00:00,INDIANA PACERS,CHARLOTTE HORNETS,105,108
2021-01-30 00:00:00+00:00,ATLANTA HAWKS,WASHINGTON WIZARDS,116,100
2021-01-30 00:30:00+00:00,MILWAUKEE BUCKS,NEW ORLEANS PELICANS,126,131
2021-01-30 00:30:00+00:00,CLEVELAND CAVALIERS,NEW YORK KNICKS,81,102
2021-01-30 00:30:00+00:00,SACRAMENTO KINGS,TORONTO RAPTORS,126,124
2021-01-30 01:00:00+00:00,PHILADELPHIA 76ERS,MINNESOTA TIMBERWOLVES,118,94
2021-01-30 01:00:00+00:00,BROOKLYN NETS,OKLAHOMA CITY THUNDER,147,125
2021-01-30 01:00:00+00:00,LOS ANGELES CLIPPERS,ORLANDO MAGIC,116,90
2021-01-30 01:30:00+00:00,DENVER NUGGETS,SAN ANTONIO SPURS,109,119
2021-01-30 03:00:00+00:00,DALLAS MAVERICKS,UTAH JAZZ,101,120
2021-01-31 01:00:00+00:00,PORTLAND TRAIL BLAZERS,CHICAGO BULLS,123,122
2021-01-31 01:00:00+00:00,MILWAUKEE BUCKS,CHARLOTTE HORNETS,114,126
2021-01-31 01:00:00+00:00,SACRAMENTO KINGS,MIAMI HEAT,104,105
2021-01-31 01:00:00+00:00,HOUSTON ROCKETS,NEW ORLEANS PELICANS,126,112
2021-01-31 01:30:00+00:00,LOS ANGELES LAKERS,BOSTON CELTICS,96,95
2021-01-31 01:30:00+00:00,MEMPHIS GRIZZLIES,SAN ANTONIO SPURS,129,112
2021-01-31 02:00:00+00:00,PHOENIX SUNS,DALLAS MAVERICKS,111,105
2021-01-31 03:00:00+00:00,DETROIT PISTONS,GOLDEN STATE WARRIORS,91,118
2021-01-31 18:00:00+00:00,LOS ANGELES CLIPPERS,NEW YORK KNICKS,129,115
2021-01-31 20:30:00+00:00,UTAH JAZZ,DENVER NUGGETS,117,128
2021-02-01 00:00:00+00:00,PHILADELPHIA 76ERS,INDIANA PACERS,119,110
2021-02-01 00:00:00+00:00,ORLANDO MAGIC,TORONTO RAPTORS,102,115
2021-02-01 00:00:00+00:00,BROOKLYN NETS,WASHINGTON WIZARDS,146,149
2021-02-01 01:00:00+00:00,CLEVELAND CAVALIERS,MINNESOTA TIMBERWOLVES,104,109
2021-02-02 00:30:00+00:00,LOS ANGELES LAKERS,ATLANTA HAWKS,107,99
2021-02-02 00:30:00+00:00,CHARLOTTE HORNETS,MIAMI HEAT,129,121
2021-02-02 01:00:00+00:00,NEW YORK KNICKS,CHICAGO BULLS,102,110
