slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
aminual01,Al-Farouq Aminu,[<Position.POWER_FORWARD: 'POWER FORWARD'>],28,PORTLAND TRAIL BLAZERS,81,81,2292,257,593,96,280,150,173,112,498,104,68,33,72,143,760
anderju01,Justin Anderson,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25,ATLANTA HAWKS,48,4,463,64,157,24,77,26,35,24,60,23,22,13,23,48,178
anderky01,Kyle Anderson,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],25,MEMPHIS GRIZZLIES,43,40,1281,150,276,9,34,37,64,48,203,128,54,37,58,112,346
anderry01,Ryan Anderson,[<Position.POWER_FORWARD: 'POWER FORWARD'>],30,PHOENIX SUNS,15,8,278,19,60,7,34,11,14,14,31,17,3,1,12,23,56
anderry01,Ryan Anderson,[<Position.POWER_FORWARD: 'POWER FORWARD'>],30,MIAMI HEAT,10,0,44,2,9,2,6,1,2,4,5,2,1,0,2,2,7
anigbik01,Ike Anigbogu,[<Position.CENTER: 'CENTER'>],20,INDIANA PACERS,3,0,6,0,3,0,0,0,0,1,2,1,0,1,1,0,0
antetgi01,Giannis Antetokounmpo,[<Position.POWER_FORWARD: 'POWER FORWARD'>],24,MILWAUKEE BUCKS,72,72,2358,721,1247,52,203,500,686,159,739,424,92,110,268,232,1994
antetko01,Kostas Antetokounmpo,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21,DALLAS MAVERICKS,2,0,11,0,3,0,0,2,4,0,1,0,2,0,1,0,2
anthoca01,Carmelo Anthony,[<Position.POWER_FORWARD: 'POWER FORWARD'>],34,HOUSTON ROCKETS,10,2,294,49,121,21,64,15,22,9,45,5,4,7,8,32,134
anunoog01,OG Anunoby,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],21,TORONTO RAPTORS,67,6,1352,183,404,67,202,36,62,58,139,47,46,22,55,140,469
arcidry01,Ryan Arcidiacono,[<Position.POINT_GUARD: 'POINT GUARD'>],24,CHICAGO BULLS,81,32,1961,187,418,81,217,89,102,27,192,269,65,4,63,171,544
