start_time,away_team,home_team,away_team_score,home_team_score
2019-11-19 00:30:00+00:00,INDIANA PACERS,BROOKLYN NETS,115,86
2019-11-19 00:30:00+00:00,CHARLOTTE HORNETS,TORONTO RAPTORS,96,132
2019-11-19 01:00:00+00:00,MILWAUKEE BUCKS,CHICAGO BULLS,115,101
2019-11-19 01:00:00+00:00,PORTLAND TRAIL BLAZERS,HOUSTON ROCKETS,108,132
2019-11-19 01:30:00+00:00,SAN ANTONIO SPURS,DALLAS MAVERICKS,110,117
2019-11-19 02:00:00+00:00,BOSTON CELTICS,PHOENIX SUNS,99,85
2019-11-19 02:00:00+00:00,MINNESOTA TIMBERWOLVES,UTAH JAZZ,112,102
2019-11-19 03:30:00+00:00,OKLAHOMA CITY THUNDER,LOS ANGELES CLIPPERS,88,90
2019-11-20 01:00:00+00:00,GOLDEN STATE WARRIORS,MEMPHIS GRIZZLIES,114,95
2019-11-20 01:00:00+00:00,PORTLAND TRAIL BLAZERS,NEW ORLEANS PELICANS,104,115
2019-11-20 03:00:00+00:00,PHOENIX SUNS,SACRAMENTO KINGS,116,120
2019-11-20 03:30:00+00:00,OKLAHOMA CITY THUNDER,LOS ANGELES LAKERS,107,112
2019-11-21 00:00:00+00:00,NEW YORK KNICKS,PHILADELPHIA 76ERS,104,109
2019-11-21 00:00:00+00:00,SAN ANTONIO SPURS,WASHINGTON WIZARDS,132,138
2019-11-21 00:30:00+00:00,MILWAUKEE BUCKS,ATLANTA HAWKS,135,127
2019-11-21 00:30:00+00:00,CHARLOTTE HORNETS,BROOKLYN NETS,91,101
2019-11-21 00:30:00+00:00,GOLDEN STATE WARRIORS,DALLAS MAVERICKS,94,142
2019-11-21 00:30:00+00:00,CLEVELAND CAVALIERS,MIAMI HEAT,100,124
2019-11-21 00:30:00+00:00,ORLANDO MAGIC,TORONTO RAPTORS,97,113
2019-11-21 01:00:00+00:00,DETROIT PISTONS,CHICAGO BULLS,89,109
2019-11-21 01:00:00+00:00,UTAH JAZZ,MINNESOTA TIMBERWOLVES,103,95
2019-11-21 02:00:00+00:00,HOUSTON ROCKETS,DENVER NUGGETS,95,105
2019-11-21 03:00:00+00:00,BOSTON CELTICS,LOS ANGELES CLIPPERS,104,107
2019-11-22 01:00:00+00:00,PORTLAND TRAIL BLAZERS,MILWAUKEE BUCKS,129,137
2019-11-22 03:30:00+00:00,NEW ORLEANS PELICANS,PHOENIX SUNS,124,121
2019-11-23 00:00:00+00:00,ATLANTA HAWKS,DETROIT PISTONS,103,128
2019-11-23 00:00:00+00:00,CHARLOTTE HORNETS,WASHINGTON WIZARDS,118,125
2019-11-23 00:30:00+00:00,SACRAMENTO KINGS,BROOKLYN NETS,97,116
2019-11-23 01:00:00+00:00,MIAMI HEAT,CHICAGO BULLS,116,108
2019-11-23 01:00:00+00:00,LOS ANGELES LAKERS,OKLAHOMA CITY THUNDER,130,127
2019-11-23 01:00:00+00:00,SAN ANTONIO SPURS,PHILADELPHIA 76ERS,104,115
2019-11-23 01:30:00+00:00,CLEVELAND CAVALIERS,DALLAS MAVERICKS,101,143
2019-11-23 02:00:00+00:00,BOSTON CELTICS,DENVER NUGGETS,92,96
2019-11-23 02:00:00+00:00,GOLDEN STATE WARRIORS,UTAH JAZZ,109,113
2019-11-23 03:30:00+00:00,HOUSTON ROCKETS,LOS ANGELES CLIPPERS,119,122
2019-11-23 22:00:00+00:00,PHOENIX SUNS,MINNESOTA TIMBERWOLVES,100,98
2019-11-24 00:00:00+00:00,CHICAGO BULLS,CHARLOTTE HORNETS,116,115
2019-11-24 00:00:00+00:00,ORLANDO MAGIC,INDIANA PACERS,106,111
2019-11-24 00:30:00+00:00,TORONTO RAPTORS,ATLANTA HAWKS,119,116
2019-11-24 00:30:00+00:00,SAN ANTONIO SPURS,NEW YORK KNICKS,111,104
2019-11-24 00:30:00+00:00,MIAMI HEAT,PHILADELPHIA 76ERS,86,113
2019-11-24 01:00:00+00:00,PORTLAND TRAIL BLAZERS,CLEVELAND CAVALIERS,104,110
2019-11-24 01:00:00+00:00,LOS ANGELES LAKERS,MEMPHIS GRIZZLIES,109,108
2019-11-24 01:30:00+00:00,DETROIT PISTONS,MILWAUKEE BUCKS,90,104
2019-11-24 02:00:00+00:00,NEW ORLEANS PELICANS,UTAH JAZZ,120,128
2019-11-24 20:30:00+00:00,DALLAS MAVERICKS,HOUSTON ROCKETS,137,123
2019-11-24 23:00:00+00:00,BROOKLYN NETS,NEW YORK KNICKS,103,101
2019-11-24 23:00:00+00:00,SACRAMENTO KINGS,WASHINGTON WIZARDS,113,106
2019-11-25 01:00:00+00:00,PHOENIX SUNS,DENVER NUGGETS,104,116
2019-11-25 02:00:00+00:00,NEW ORLEANS PELICANS,LOS ANGELES CLIPPERS,109,134
2019-11-26 00:00:00+00:00,BROOKLYN NETS,CLEVELAND CAVALIERS,108,106
2019-11-26 00:00:00+00:00,ORLANDO MAGIC,DETROIT PISTONS,88,103
2019-11-26 00:00:00+00:00,MEMPHIS GRIZZLIES,INDIANA PACERS,114,126
2019-11-26 00:30:00+00:00,MINNESOTA TIMBERWOLVES,ATLANTA HAWKS,125,113
2019-11-26 00:30:00+00:00,SACRAMENTO KINGS,BOSTON CELTICS,102,103
2019-11-26 00:30:00+00:00,CHARLOTTE HORNETS,MIAMI HEAT,100,117
2019-11-26 00:30:00+00:00,PHILADELPHIA 76ERS,TORONTO RAPTORS,96,101
2019-11-26 01:00:00+00:00,PORTLAND TRAIL BLAZERS,CHICAGO BULLS,117,94
2019-11-26 01:00:00+00:00,UTAH JAZZ,MILWAUKEE BUCKS,118,122
2019-11-26 01:30:00+00:00,LOS ANGELES LAKERS,SAN ANTONIO SPURS,114,104
2019-11-26 03:30:00+00:00,OKLAHOMA CITY THUNDER,GOLDEN STATE WARRIORS,100,97
2019-11-27 01:30:00+00:00,LOS ANGELES CLIPPERS,DALLAS MAVERICKS,114,99
2019-11-27 02:00:00+00:00,WASHINGTON WIZARDS,DENVER NUGGETS,104,117
2019-11-28 00:00:00+00:00,BROOKLYN NETS,BOSTON CELTICS,110,121
2019-11-28 00:00:00+00:00,DETROIT PISTONS,CHARLOTTE HORNETS,101,102
2019-11-28 00:00:00+00:00,ORLANDO MAGIC,CLEVELAND CAVALIERS,116,104
2019-11-28 00:00:00+00:00,UTAH JAZZ,INDIANA PACERS,102,121
2019-11-28 00:00:00+00:00,SACRAMENTO KINGS,PHILADELPHIA 76ERS,91,97
2019-11-28 00:30:00+00:00,NEW YORK KNICKS,TORONTO RAPTORS,98,126
2019-11-28 01:00:00+00:00,MIAMI HEAT,HOUSTON ROCKETS,108,117
2019-11-28 01:00:00+00:00,LOS ANGELES CLIPPERS,MEMPHIS GRIZZLIES,121,119
2019-11-28 01:00:00+00:00,ATLANTA HAWKS,MILWAUKEE BUCKS,102,111
2019-11-28 01:30:00+00:00,MINNESOTA TIMBERWOLVES,SAN ANTONIO SPURS,113,101
2019-11-28 02:00:00+00:00,WASHINGTON WIZARDS,PHOENIX SUNS,140,132
2019-11-28 02:30:00+00:00,LOS ANGELES LAKERS,NEW ORLEANS PELICANS,114,110
2019-11-28 03:00:00+00:00,OKLAHOMA CITY THUNDER,PORTLAND TRAIL BLAZERS,119,136
2019-11-28 03:30:00+00:00,CHICAGO BULLS,GOLDEN STATE WARRIORS,90,104
2019-11-29 17:00:00+00:00,BOSTON CELTICS,BROOKLYN NETS,107,112
2019-11-30 00:00:00+00:00,CHARLOTTE HORNETS,DETROIT PISTONS,110,107
2019-11-30 00:00:00+00:00,TORONTO RAPTORS,ORLANDO MAGIC,90,83
2019-11-30 00:30:00+00:00,MILWAUKEE BUCKS,CLEVELAND CAVALIERS,119,110
2019-11-30 00:30:00+00:00,PHILADELPHIA 76ERS,NEW YORK KNICKS,101,95
2019-11-30 01:00:00+00:00,ATLANTA HAWKS,INDIANA PACERS,104,105
2019-11-30 01:00:00+00:00,UTAH JAZZ,MEMPHIS GRIZZLIES,103,94
2019-11-30 01:00:00+00:00,GOLDEN STATE WARRIORS,MIAMI HEAT,105,122
2019-11-30 01:00:00+00:00,NEW ORLEANS PELICANS,OKLAHOMA CITY THUNDER,104,109
2019-11-30 01:30:00+00:00,LOS ANGELES CLIPPERS,SAN ANTONIO SPURS,97,107
2019-11-30 02:00:00+00:00,DALLAS MAVERICKS,PHOENIX SUNS,120,113
2019-11-30 03:00:00+00:00,CHICAGO BULLS,PORTLAND TRAIL BLAZERS,103,107
2019-11-30 03:30:00+00:00,WASHINGTON WIZARDS,LOS ANGELES LAKERS,103,125
2019-11-30 22:00:00+00:00,DENVER NUGGETS,SACRAMENTO KINGS,97,100
2019-12-01 00:00:00+00:00,INDIANA PACERS,PHILADELPHIA 76ERS,116,119
2019-12-01 01:00:00+00:00,ATLANTA HAWKS,HOUSTON ROCKETS,111,158
2019-12-01 01:00:00+00:00,CHARLOTTE HORNETS,MILWAUKEE BUCKS,96,137
2019-12-01 20:00:00+00:00,MIAMI HEAT,BROOKLYN NETS,109,106
2019-12-01 20:30:00+00:00,MEMPHIS GRIZZLIES,MINNESOTA TIMBERWOLVES,115,107
2019-12-01 20:30:00+00:00,BOSTON CELTICS,NEW YORK KNICKS,113,104
2019-12-01 21:00:00+00:00,DALLAS MAVERICKS,LOS ANGELES LAKERS,114,100
2019-12-01 22:00:00+00:00,SAN ANTONIO SPURS,DETROIT PISTONS,98,132
2019-12-01 22:00:00+00:00,OKLAHOMA CITY THUNDER,NEW ORLEANS PELICANS,107,104
2019-12-01 23:00:00+00:00,GOLDEN STATE WARRIORS,ORLANDO MAGIC,96,100
2019-12-01 23:00:00+00:00,UTAH JAZZ,TORONTO RAPTORS,110,130
